Region,InstrumentType,ContractName,MaxOrderNotional,MaxOrderNotional (spread),MaxOrderQuantity,MaxOrderQuantity (spread),MaxLiveNotional,MaxLiveNotional(spread),MaxLiveQuantity,MaxLiveQuantity (spread)
EMEA,CommodityFuture,SM,150000,150000,3,3,45000000,45000000,50,50
EMEA,IndexFuture,STXE,1000000,1000000,10,10,45000000,45000000,50,50
EMEA,IndexFuture,SXF,1900000,1900000,10,10,45000000,45000000,50,50
EMEA,BondFuture,TN,2300000,2300000,100,100,45000000,45000000,50,50
EMEA,BondFuture,TU,5000000,5000000,80,80,45000000,45000000,50,50
EMEA,BondFuture,TY,2300000,2300000,306,306,45000000,45000000,50,50
EMEA,BondFuture,US,2300000,2300000,73,73,45000000,45000000,50,50
EMEA,VolatilityFuture,VX,1000000,1000000,10,10,45000000,45000000,50,50
EMEA,CommodityFuture,W,150000,150000,3,3,45000000,45000000,50,50
EMEA,IndexFuture,WIN,1000000,1000000,10,10,45000000,45000000,50,50
EMEA,CommodityFuture,WTCL,350000,350000,4,4,45000000,45000000,50,50
EMEA,IndexFuture,YAP,1000000,2820000,10,20,45000000,45000000,50,50
EMEA,BondFuture,YTC,2300000,2300000,100,100,45000000,45000000,50,50
EMEA,CommodityFuture,COI,150000,5000000,4,200,300000,30000000,50,200
EMEA,CommodityFuture,CRSM,200000,5000000,4,400,300000,30000000,10,400
EMEA,CommodityFuture,CTA,350000,5000000,4,1000,300000,30000000,10,1000
EMEA,CommodityFuture,CZPK,300000,5000000,4,90,300000,30000000,10,90
EMEA,CommodityFuture,DBY,150000,5000000,4,200,300000,30000000,10,200
EMEA,CommodityFuture,DCIO,150000,5000000,4,150,300000,30000000,10,150
EMEA,CommodityFuture,DCP,250000,5000000,4,200,300000,30000000,10,200
EMEA,CommodityFuture,DSA,350000,5000000,4,300,300000,30000000,10,300
EMEA,CommodityFuture,DSB,150000,5000000,4,200,300000,30000000,10,200
EMEA,CommodityFuture,DSM,200000,5000000,4,400,300000,30000000,10,400
EMEA,CommodityFuture,ILU,100000,5000000,4,100,300000,30000000,10,100
EMEA,CommodityFuture,ISC,100000,5000000,4,30,300000,30000000,10,30
EMEA,CommodityFuture,SIBC,300000,5000000,4,70,300000,30000000,10,70
EMEA,CommodityFuture,SINR,150000,5000000,4,40,300000,30000000,10,40
